document_id,tweetText,sentiment
91,ai art alkaidvision aiartcommuity aiartists generativeai httpstcoegjbnssvz,neutral
92,httpstcohjxivzhcu quantum computing advance synthetic data ai national security generativeai quantumcomputing syntheticdata artificialintelligence nationalsecurity cybersecurity technews aiinnovation quantumtech datascience httpstcopksldlqw,positive
93,genai isnt toy business tool many chemical company treat ai like experiment strategy here thats problem fix httpstcojrsgstdq genai generativeai ai technicalsales chemical chemicalindustry,positive
94,generativeai transforming cybersecurity amp mainframesecuritya doubleedged sword big risk amp opportunity dont miss ichis take good bad amp ugly generative ai amp cybersecurity httpstcopygrlbmkb vertmf httpstcobyigzmszpt,positive
95,computing meet ai cloud gpus become catalyst breakthrough field ranging climate modeling drug discovery httpstcorktlafqi machinelearning adversarialai ai enterpriseai generativeai,positive
96,need agentic tech infrastructure orchestration ai artificialintelligence generativeai data cybersecurity digitaltransformation mwc httpstcotvzfgskzk httpstcoghdkhku,negative
97,dont miss next foundationsofai course intro ai deeplearning amy hemmeter halfday course february cover basic ml deeplearning nlp computervision generativeai aimodels datascience register httpstcoopntskt httpstcocwsclpleb,neutral
98,next frontier legal ai embracing agentic model lexisnexis httpstcoxhmukyqdtc generativeai genai ai,positive
99,geoffkeighley whoa muse creating new bleeding edge sequence publicai harnessing ai human creativity cant wait see gamechanging idea emerge generativeai gameon,positive
100,akhaliq huge indeed microsoft drop muse publicai drop data fueling next gen gameplay ai generativeai,neutral
